Birth_rate_count_id,Region_id,Region_cod,Region_desc,Year,Birth Rate,Birth Count,Type_Birth_Id,Type_birth_desc
112,8,CT,Connecticut,2002,58.8,42001,1,Birth
113,9,DE,Delaware,2002,62.2,11090,1,Birth
114,10,DC,District of Columbia,2002,52.9,7498,1,Birth
115,11,FL,Florida,2002,62.5,205579,1,Birth
116,12,GA,Georgia,2002,68.4,133300,1,Birth
117,13,HI,Hawaii,2002,68.6,17477,1,Birth
118,14,ID,Idaho,2002,73.8,20970,1,Birth
119,15,IL,Illinois,2002,66.1,180622,1,Birth
120,16,IN,Indiana,2002,64.8,85081,1,Birth
121,17,IA,Iowa,2002,61.7,37559,1,Birth
122,18,KS,Kansas,2002,68.7,39412,1,Birth
123,19,KY,Kentucky,2002,60.5,54233,1,Birth
124,20,LA,Louisiana,2002,65.4,64872,1,Birth
125,21,ME,Maine,2002,49.8,13559,1,Birth
126,22,MD,Maryland,2002,60.6,73323,1,Birth
127,23,MA,Massachusetts,2002,56.7,80645,1,Birth
128,24,MI,Michigan,2002,60.7,129967,1,Birth
129,25,MN,Minnesota,2002,62,68025,1,Birth
130,26,MS,Mississippi,2002,65.7,41518,1,Birth
131,27,MO,Missouri,2002,62.1,75251,1,Birth
132,28,MT,Montana,2002,60.3,11049,1,Birth
133,29,NE,Nebraska,2002,69.5,25383,1,Birth
134,30,NV,Nevada,2002,72.5,32571,1,Birth
135,31,NH,New Hampshire,2002,52.4,14442,1,Birth
136,32,NJ,New Jersey,2002,63.5,114751,1,Birth
137,33,NM,New Mexico,2002,70.7,27753,1,Birth
138,34,NY,New York,2002,59.8,251415,1,Birth
139,35,NC,North Carolina,2002,65.4,117335,1,Birth
140,36,ND,North Dakota,2002,58.7,7757,1,Birth
141,37,OH,Ohio,2002,61.7,148720,1,Birth
142,38,OK,Oklahoma,2002,68.8,50387,1,Birth
143,39,OR,Oregon,2002,61.9,45192,1,Birth
144,40,PA,Pennsylvania,2002,56.4,142850,1,Birth
145,41,RI,Rhode Island,2002,54.6,12894,1,Birth
146,42,SC,South Carolina,2002,60.7,54570,1,Birth
147,43,SD,South Dakota,2002,68.3,10698,1,Birth
148,44,TN,Tennessee,2002,62.2,77482,1,Birth
149,45,TX,Texas,2002,77.1,372450,1,Birth
150,46,UT,Utah,2002,90.6,49182,1,Birth
151,47,VT,Vermont,2002,48.9,6387,1,Birth
152,48,VA,Virginia,2002,61.9,99672,1,Birth
153,49,WA,Washington,2002,60.2,79028,1,Birth
154,50,WV,West Virginia,2002,57,20712,1,Birth
155,51,WI,Wisconsin,2002,59,68560,1,Birth
156,52,WY,Wyoming,2002,63.6,6550,1,Birth
157,1,US,United States,2003,66.1,4089950,1,Birth
158,2,AL,Alabama,2003,62.5,59552,1,Birth
159,3,AK,Alaska,2003,72.5,10086,1,Birth
160,4,AZ,Arizona,2003,79.2,90967,1,Birth
161,5,AR,Arkansas,2003,67.4,37784,1,Birth
162,6,CA,California,2003,69.9,540997,1,Birth
163,7,CO,Colorado,2003,69.5,69339,1,Birth
164,8,CT,Connecticut,2003,59.6,42873,1,Birth
165,9,DE,Delaware,2003,64.6,11329,1,Birth
166,10,DC,District of Columbia,2003,53.9,7619,1,Birth
167,11,FL,Florida,2003,63.4,212250,1,Birth
168,12,GA,Georgia,2003,69.3,135979,1,Birth
169,13,HI,Hawaii,2003,72.2,18100,1,Birth
170,14,ID,Idaho,2003,76,21800,1,Birth
171,15,IL,Illinois,2003,67,182495,1,Birth
172,16,IN,Indiana,2003,66.4,86434,1,Birth
173,17,IA,Iowa,2003,63.3,38174,1,Birth
174,18,KS,Kansas,2003,69.5,39476,1,Birth
175,19,KY,Kentucky,2003,63.1,55236,1,Birth
176,20,LA,Louisiana,2003,66.1,65040,1,Birth
177,21,ME,Maine,2003,52,13855,1,Birth
178,22,MD,Maryland,2003,62.4,74930,1,Birth
179,23,MA,Massachusetts,2003,57.2,80184,1,Birth
180,24,MI,Michigan,2003,61.7,131094,1,Birth
181,25,MN,Minnesota,2003,64.1,70050,1,Birth
182,26,MS,Mississippi,2003,67.9,42380,1,Birth
183,27,MO,Missouri,2003,64.1,77045,1,Birth
184,28,MT,Montana,2003,62.6,11422,1,Birth
185,29,NE,Nebraska,2003,71.4,25917,1,Birth
186,30,NV,Nevada,2003,72.2,33647,1,Birth
187,31,NH,New Hampshire,2003,52.7,14393,1,Birth
188,32,NJ,New Jersey,2003,64.9,116983,1,Birth
189,33,NM,New Mexico,2003,71.4,27821,1,Birth
190,34,NY,New York,2003,61,253714,1,Birth
191,35,NC,North Carolina,2003,65.8,118323,1,Birth
192,36,ND,North Dakota,2003,61.6,7972,1,Birth
193,37,OH,Ohio,2003,62.7,149679,1,Birth
194,38,OK,Oklahoma,2003,69.9,50981,1,Birth
195,39,OR,Oregon,2003,62.5,45953,1,Birth
196,40,PA,Pennsylvania,2003,58.1,145959,1,Birth
197,41,RI,Rhode Island,2003,56.6,13209,1,Birth
198,42,SC,South Carolina,2003,62.9,55649,1,Birth
199,43,SD,South Dakota,2003,70.8,11027,1,Birth
200,44,TN,Tennessee,2003,63.1,78890,1,Birth
201,45,TX,Texas,2003,77.5,377476,1,Birth
202,46,UT,Utah,2003,92.2,49860,1,Birth
203,47,VT,Vermont,2003,51.1,6589,1,Birth
204,48,VA,Virginia,2003,63.3,101254,1,Birth
205,49,WA,Washington,2003,61.2,80489,1,Birth
206,50,WV,West Virginia,2003,58.1,20935,1,Birth
207,51,WI,Wisconsin,2003,60.7,70040,1,Birth
208,52,WY,Wyoming,2003,65.6,6700,1,Birth
209,1,US,United States,2004,66.3,4112052,1,Birth
210,2,AL,Alabama,2004,62.4,59510,1,Birth
211,3,AK,Alaska,2004,74.4,10338,1,Birth
212,4,AZ,Arizona,2004,79.5,93663,1,Birth
213,5,AR,Arkansas,2004,68.3,38573,1,Birth
214,6,CA,California,2004,70.4,544843,1,Birth
215,7,CO,Colorado,2004,68.8,68503,1,Birth
216,8,CT,Connecticut,2004,58.8,42095,1,Birth
217,9,DE,Delaware,2004,63.8,11369,1,Birth
218,10,DC,District of Columbia,2004,58.2,7933,1,Birth
219,11,FL,Florida,2004,64.1,218053,1,Birth
220,12,GA,Georgia,2004,70.1,138849,1,Birth
221,13,HI,Hawaii,2004,74,18281,1,Birth
222,14,ID,Idaho,2004,77.3,22532,1,Birth
223,15,IL,Illinois,2004,66.7,180778,1,Birth
224,16,IN,Indiana,2004,67,87142,1,Birth
225,17,IA,Iowa,2004,63.8,38438,1,Birth
226,18,KS,Kansas,2004,69.8,39669,1,Birth
227,19,KY,Kentucky,2004,63.6,55720,1,Birth
228,20,LA,Louisiana,2004,66.7,65369,1,Birth
229,21,ME,Maine,2004,52.4,13944,1,Birth
230,22,MD,Maryland,2004,62.3,74628,1,Birth
231,23,MA,Massachusetts,2004,56.5,78484,1,Birth
